sample_id,item_qid,preferred_label,description,direct_class_labels,class_ancestor_labels,semantic_fact_texts,annotator_final_decision,annotator_eventour_category,annotator_is_ambiguous,annotator_notes
ann_0011,Q113298714,Archivio delle tesi di laurea. Università degli studi di Milano,archivio accademico a Milano,archivio accademico,archivio | GLAM,numero di telefono: +39 0250312270 | codice postale: 20122,,,,
ann_0012,Q111413053,Armani Hotel Milano,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle,,,,
ann_0013,Q81172421,Arredamenti Cattaneo srl,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0014,Q113515425,Associazione Culturale Biblioteca Famiglia Meneghina-Società del Giardino,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Geografia e Storia | Wi-Fi: no | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Associazione Culturale Biblioteca Famiglia Meneghina-Società del Giardino | numero di telefono: +390276005705 | numero di telefono: +39 0276005705 | codice postale: 20121,,,,
ann_0015,Q81172471,Azienda ospedaliera Ospedale Niguarda Ca' Granda,archivio italiano,archivio,collezione | GLAM | organizzazione,filiali: Biblioteca del Centro Documentazione Biomedica di Milano,,,,
ann_0016,Q81172496,Banca Regionale Europea spa,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0017,Q81172489,Banca commerciale italiana spa - BCI,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0018,Q2404922,Bar Basso,bar di Milano,bar,alcohol drinking establishment | impresa alimentare,luogo di fondazione: Milano | data di fondazione o creazione: 1947-01-01,,,,
ann_0019,Q18222706,Bar Bianco,bar di Milano,bar,alcohol drinking establishment | impresa alimentare,architetto: Riccardo Griffini | data di apertura ufficiale: 1954-01-01,,,,
ann_0020,Q130308172,Bar Gattullo,"bar in Milano, Italy",misura | ristorante,intervallo di tempo | mass caterer | servizio,fonte dell'affermazione: Un povero ricco | stile architettonico: anni 1950,,,,
ann_0021,Q3634474,Bar Jamaica,bar di Milano,bar,alcohol drinking establishment | impresa alimentare,luogo: Brera,,,,
ann_0022,Q130308155,Bar Quadronno,"bar in Milano, Italy",misura,intervallo di tempo,influenzato da: Milanese | considerato essere uguale a: Harry's Bar | persona significativa: Roberto Parodi | persona significativa: Pieter Mulier | concetto più ampio: Oratorio di Santa Maria al Portello Vigentino | consiste di: Quadronno | data di fondazione o creazione: 1964-01-01,,,,
ann_0023,Q113515493,"Biblioteca ""Ettore Castiglioni""",biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,"elemento operato: prestito bibliotecario | elemento operato: document delivery intersistemico | campo di lavoro: Arti | Wi-Fi: sì | giorni di apertura: mercoledì | giorni di apertura: giovedì | entità controllante: Club alpino italiano | nome ufficiale: Biblioteca ""Ettore Castiglioni""",,,,
ann_0024,Q113319485,Biblioteca AGIS lombarda,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,nome ufficiale: BIBLIOTECA AGIS LOMBARDA | numero di telefono: +39 026739781 | codice postale: 20124 | dimensione della collezione o esposizione: 1500,,,,
ann_0025,Q113468898,Biblioteca Archivio per la storia del movimento sociale cattolico in Italia. Università cattolica del Sacro Cuore,biblioteca dell'Università cattolica del Sacro Cuore,biblioteca universitaria,biblioteca accademica,giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università Cattolica del Sacro Cuore | numero di telefono: +39 0272342928 | codice postale: 20123 | dimensione della collezione o esposizione: 4500 | nome ufficiale: Biblioteca Archivio per la storia del movimento sociale cattolico in Italia dell'Università cattolica del Sacro Cuore,,,,
ann_0026,Q113319494,Biblioteca Assocalzaturifici,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Arti | membro di: Polo regionale Lombardia | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca Assocalzaturifici | numero di telefono: +39 02 43829212 | codice postale: 20154 | visitatori annui: 5,,,,
ann_0027,Q113298767,Biblioteca Biomedica di Città Studi. Sezione Prestito per il diritto allo studio. Università degli Studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo Università statale di Milano | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca Biomedica di Città Studi | numero di telefono: +39 0250315181 | codice postale: 20132 | dimensione della collezione o esposizione: 60000,,,,
ann_0028,Q113298719,Biblioteca Bovisa Candiani. Politecnico di Milano,biblioteca del Politecnico di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo del Politecnico di Milano | membro di: ACNP | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Politecnico di Milano | nome ufficiale: Biblioteca Bovisa Candiani del Politecnico di Milano | numero di telefono: +39 0223995684 | codice postale: 20158,,,,
ann_0029,Q113298758,Biblioteca Bovisa La Masa del Politecnico di Milano,biblioteca del Politecnico di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo del Politecnico di Milano | membro di: ACNP | giorni di apertura: domenica | giorni di apertura: sabato | entità controllante: Politecnico di Milano | nome ufficiale: Biblioteca Bovisa La Masa del Politecnico di Milano | numero di telefono: +39 0223998053 | codice postale: 20156,,,,
ann_0030,Q113319455,Biblioteca Centro Studi Educativi,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery internazionale | elemento operato: document delivery nazionale | campo di lavoro: Religione | membro di: Polo regionale Lombardia | accessibilità alle persone con disabilità: inaccessibile alle persone con disabilità motorie | Wi-Fi: gratuità | Wi-Fi: sì | giorni di apertura: lunedì,,,,
ann_0031,Q125745416,Biblioteca Cluster,biblioteca italiana di Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,nome ufficiale: Biblioteca Cluster | dimensione della collezione o esposizione: 1300 | dimensione della collezione o esposizione: 2000,,,,
ann_0032,Q112941453,Biblioteca Comunale Rionale Affori,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Affori | numero di telefono: +39 0288462522 | codice postale: 20161,,,,
ann_0033,Q112941460,Biblioteca Comunale Rionale Calvairate,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: no | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Punto prestito Biblioteca comunale Rionale Calvairate | numero di telefono: +39 0288465801 | codice postale: 20137,,,,
ann_0034,Q112941671,Biblioteca Comunale Rionale Cassina Anna,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Cassina Anna | numero di telefono: +39 0288465800 | codice postale: 20161,,,,
ann_0035,Q112941550,Biblioteca Comunale Rionale Chiesa Rossa,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,sede legale: cascina Chiesa Rossa | elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Chiesa Rossa | numero di telefono: +39 0288465991,,,,
ann_0036,Q112941445,Biblioteca Comunale Rionale Dergano - Bovisa,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Dergano - Bovisa | numero di telefono: +39 0288465807 | codice postale: 20158 | visitatori annui: 8108 | dimensione della collezione o esposizione: 47532,,,,
ann_0037,Q112941674,Biblioteca Comunale Rionale Fra Cristoforo,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Fra Cristoforo | numero di telefono: +39 0288465806 | codice postale: 20142,,,,
ann_0038,Q112941554,Biblioteca Comunale Rionale Gallaratese,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Gallaratese | numero di telefono: +39 0288464270 | codice postale: 20151,,,,
ann_0039,Q112941451,Biblioteca Comunale Rionale Harar,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Harar | numero di telefono: +39 0288465810 | codice postale: 20153,,,,
ann_0040,Q112941449,Biblioteca Comunale Rionale Lorenteggio,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Lorenteggio | numero di telefono: +39 0288465811 | codice postale: 20147,,,,
ann_0041,Q112941557,Biblioteca Comunale Rionale Niguarda,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Niguarda | numero di telefono: +39 0288462542 | codice postale: 20162,,,,
ann_0042,Q112941560,Biblioteca Comunale Rionale Oglio,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Oglio | numero di telefono: +39 0288462971 | codice postale: 20139,,,,
ann_0043,Q112941441,Biblioteca Comunale Rionale Parco Sempione,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale Rionale Parco Sempione | numero di telefono: +39 0288465812 | codice postale: 20121,,,,
ann_0044,Q112941444,Biblioteca Comunale Rionale Quarto Oggiaro,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Quarto Oggiaro | numero di telefono: +39 0288465813 | codice postale: 20157,,,,
ann_0045,Q112941561,Biblioteca Comunale Rionale S. Ambrogio,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale S. Ambrogio | numero di telefono: +39 0288465814 | codice postale: 20142,,,,
ann_0046,Q112941439,Biblioteca Comunale Rionale Sicilia,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Sicilia | numero di telefono: +39 0288465863 | codice postale: 20146,,,,
ann_0047,Q112941563,Biblioteca Comunale Rionale Tibaldi,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: sabato | giorni di apertura: lunedì | nome ufficiale: Biblioteca comunale rionale Tibaldi | numero di telefono: +39 0288462920 | codice postale: 20136,,,,
ann_0048,Q112941683,Biblioteca Comunale Rionale Zara,biblioteca pubblica a Milano,biblioteca di un ente territoriale italiano | biblioteca pubblica,biblioteca | servizio,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca comunale rionale Zara | numero di telefono: +39 0288462823 | codice postale: 20125,,,,
ann_0049,Q113515449,Biblioteca Franco Fornari del Centro milanese di psicoanalisi Cesare Musatti,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito bibliotecario | campo di lavoro: Filosofia e Psicologia | Wi-Fi: sì | giorni di apertura: martedì | giorni di apertura: giovedì | nome ufficiale: Biblioteca Franco Fornari del Centro milanese di psicoanalisi Cesare Musatti | numero di telefono: +39 0255012281 | codice postale: 20122,,,,
ann_0050,Q113610837,Biblioteca Isimbardi,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca di un ente territoriale italiano,biblioteca,campo di lavoro: Geografia e Storia | membro di: Polo Biblioteca Ambrosiana | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca Isimbardi | numero di telefono: +39 0277406578 | numero di telefono: +39 0277402420 | codice postale: 20122,,,,
ann_0051,Q113535862,Biblioteca Isola di Libri,biblioteca pubblica a Milano,biblioteca privata | biblioteca pubblica,biblioteca | proprietà privata | servizio,elemento operato: prestito bibliotecario | Wi-Fi: no | giorni di apertura: lunedì | giorni di apertura: mercoledì | nome ufficiale: Biblioteca Isola di Libri | numero di telefono: +39 0239527488 | codice postale: 20126 | visitatori annui: 510,,,,
ann_0052,Q113298710,"Biblioteca Matematica ""Giovanni Ricci"". Università degli Studi di Milano",biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,"membro di: ACNP | membro di: Polo Università statale di Milano | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca Matematica ""Giovanni Ricci"" | numero di telefono: +39 0250316116 | codice postale: 20133",,,,
ann_0053,Q113515445,Biblioteca Popolare della Fondazione Carlo Perini,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,entità controllante: Circolo culturale Carlo Perini | nome ufficiale: Biblioteca popolare della Fondazione Carlo Perini | numero di telefono: +39 0239261019 | codice postale: 20157 | visitatori annui: 50 | dimensione della collezione o esposizione: 3000,,,,
ann_0054,Q113319457,Biblioteca San Raffaele,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito interbibliotecario internazionale | elemento operato: prestito interbibliotecario nazionale | campo di lavoro: Tecnologia e scienze applicate | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: BIBLIOTECA SAN RAFFAELE | numero di telefono: +39 0226432760 | codice postale: 20132,,,,
ann_0055,Q113319484,Biblioteca Scientifica della Fondazione don Carlo Gnocchi,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: document delivery intersistemico | elemento operato: document delivery internazionale | campo di lavoro: Scienze Naturali | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca Scientifica della Fondazione don Carlo Gnocchi | numero di telefono: +39 0240308445 | codice postale: 20148,,,,
ann_0056,Q113319503,Biblioteca WOW,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,campo di lavoro: Arti | membro di: Polo Città di Milano | entità controllante: Fondazione Franco Fossati | nome ufficiale: Biblioteca WOW | codice postale: 20133 | visitatori annui: 800 | dimensione della collezione o esposizione: 8500 | dimensione della collezione o esposizione: 2000,,,,
ann_0057,Q81172851,Biblioteca archeologica-Biblioteca d'arte-Centro di alti studi sulle arti visive - CASVA,biblioteca di Milano,archivio | biblioteca,collezione | GLAM | installazione culturale | istituzione pubblica | luogo | organizzazione,codice postale: 20121,,,,
ann_0058,Q113319453,Biblioteca avvocato Giorgio Ambrosoli dell'Ordine degli avvocati di Milano,biblioteca specializzata a Milano,biblioteca di un ente pubblico italiano | biblioteca specializzata,biblioteca,elemento operato: document delivery intersistemico | elemento operato: document delivery internazionale | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca avvocato Giorgio Ambrosoli dell'Ordine degli avvocati di Milano | numero di telefono: +39 0254122461 | codice postale: 20122 | visitatori annui: 12000,,,,
ann_0059,Q113298721,Biblioteca d'Ateneo. Sede centrale. Università degli studi di Milano-Bicocca,biblioteca dell'Università degli studi di Milano-Bicocca,biblioteca universitaria,biblioteca accademica,gestore/direttore: Maurizio Di Girolamo | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano-Bicocca | nome ufficiale: Biblioteca d'Ateneo. Sede centrale dell'Università degli studi di Milano-Bicocca | numero di telefono: +39 0264486251 | data di fondazione o creazione: 1998-01-01 | codice postale: 20126,,,,
ann_0060,Q113535855,Biblioteca dei trasporti e della mutualità Cesare Pozzo,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,elemento operato: prestito interbibliotecario nazionale | elemento operato: prestito interbibliotecario intersistemico | campo di lavoro: Scienze Sociali | membro di: Polo regionale Lombardia | Wi-Fi: no | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca dei trasporti e della mutualità Cesare Pozzo,,,,
ann_0061,Q113515443,Biblioteca del Centro Documentazione Biomedica di Milano,biblioteca specializzata a Milano,biblioteca di un ente pubblico italiano | biblioteca specializzata,biblioteca,campo di lavoro: Scienze Naturali | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Azienda ospedaliera Ospedale Niguarda Ca' Granda | nome ufficiale: CENTRO DOCUMENTAZIONE BIOMEDICA - BIBLIOTECA | numero di telefono: +39 0264442190 | codice postale: 20162,,,,
ann_0062,Q113515492,Biblioteca del Centro culturale protestante di Milano,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,elemento operato: prestito bibliotecario | elemento operato: document delivery nazionale | campo di lavoro: Religione | membro di: Polo regionale Lombardia | Wi-Fi: sì | giorni di apertura: mercoledì | nome ufficiale: Biblioteca del Centro culturale protestante di Milano | numero di telefono: +39 0276021518,,,,
ann_0063,Q113092722,Biblioteca del Centro di consultazione psico-pedagogica Villa Clerici,biblioteca di conservazione a Milano,biblioteca di conservazione,biblioteca,giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca del Centro di consultazione psico-pedagogica Villa Clerici | numero di telefono: +39 026470169 | codice postale: 20162 | dimensione della collezione o esposizione: 1000,,,,
ann_0064,Q113298768,Biblioteca del Centro funzionale Raffaele Mattioli. Università degli Studi di Milano,biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo Università statale di Milano | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca del Centro funzionale Raffaele Mattioli | numero di telefono: +39 0250312797 | codice postale: 20122,,,,
ann_0065,Q113092725,Biblioteca del Centro missionario del Pontificio istituto missioni estere - PIME,biblioteca specializzata a Milano,biblioteca privata | biblioteca specializzata,biblioteca | proprietà privata,struttura presente: sala conferenze | struttura presente: sala lettura | elemento operato: prestito bibliotecario | elemento operato: document delivery nazionale | accessibilità alle persone con disabilità: accessibile alle persone con disabilità motorie | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì,,,,
ann_0066,Q113515451,Biblioteca del Centro studi carusiani,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,nome ufficiale: Biblioteca del Centro studi carusiani | numero di telefono: +39 0269001449 | codice postale: 20125 | dimensione della collezione o esposizione: 100,,,,
ann_0067,Q113319462,Biblioteca del Centro studi per la programmazione intercomunale dell'area metropolitana,biblioteca specializzata a Milano,biblioteca di un ente di ricerca pubblico italiano | biblioteca specializzata,biblioteca,campo di lavoro: Arti | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca del Centro studi per la programmazione intercomunale dell'area metropolitana | numero di telefono: +39 026311901 | codice postale: 20157 | visitatori annui: 10,,,,
ann_0068,Q113535856,Biblioteca del Circolo aziendale Siemens,biblioteca pubblica a Milano,biblioteca pubblica,biblioteca | servizio,nome ufficiale: Biblioteca del Circolo aziendale Siemens | numero di telefono: +39 0224362395 | codice postale: 20128 | dimensione della collezione o esposizione: 1300,,,,
ann_0069,Q113527482,Biblioteca del Circolo filologico milanese,biblioteca di conservazione a Milano,biblioteca di conservazione | biblioteca privata,biblioteca | proprietà privata,membro di: ACNP | membro di: Polo regionale Lombardia | giorni di apertura: sabato | giorni di apertura: lunedì | entità controllante: Circolo Filologico Milanese | nome ufficiale: Biblioteca del Circolo filologico milanese | numero di telefono: +39 0286462689 | codice postale: 20121,,,,
ann_0070,Q17622730,Biblioteca del Consiglio regionale della Lombardia,biblioteca specializzata a Milano,biblioteca di un ente pubblico italiano | biblioteca specializzata,biblioteca,membro di: Polo Lombardia 2 | membro di: ACNP | Wi-Fi: sì | giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Lombardia | nome ufficiale: Biblioteca del Consiglio regionale della Lombardia | numero di telefono: +39 0267482828,,,,
ann_0071,Q113298709,"Biblioteca del Dipartimento di chimica inorganica, metallorganica e analitica. Università degli studi di Milano",biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,"entità controllante: Università degli Studi di Milano | numero di telefono: +39 0250314403 | codice postale: 20133 | dimensione della collezione o esposizione: 884 | nome ufficiale: Biblioteca del Dipartimento di chimica inorganica, metallorganica e analitica dell'Università degli studi di Milano",,,,
ann_0072,Q113611872,Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale dell'Università degli studi di Milano,biblioteca universitaria a Milano,biblioteca universitaria,biblioteca accademica,membro di: Polo Università statale di Milano | entità controllante: Università degli Studi di Milano | nome ufficiale: Biblioteca di Studi Giuridici e Umanistici - Diritto pubblico dell'Università degli studi di Milano | codice postale: 20122 | dimensione della collezione o esposizione: 80000,,,,
ann_0073,Q113611873,"Biblioteca del Dipartimento di scienze giuridiche ecclesiasticistiche, filosofico-sociologiche e penalistiche Cesare Beccaria dell'Università degli studi di Milano",biblioteca a Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,"membro di: Polo Università statale di Milano | codice postale: 20122 | nome ufficiale: Biblioteca di Studi Giuridici e Umanistici - Scienze giuridiche ""Cesare Beccaria"" dell'Università degli studi di Milano",,,,
ann_0074,Q113298734,"Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione discipline musicologiche e dello spettacolo. Università degli studi di Milano",biblioteca dell'Università degli studi di Milano,biblioteca universitaria,biblioteca accademica,"giorni di apertura: lunedì | giorni di apertura: venerdì | entità controllante: Università degli Studi di Milano | numero di telefono: +39 0250322072 | codice postale: 20141 | dimensione della collezione o esposizione: 15977 | nome ufficiale: Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione discipline musicologiche e dello spettacolo dell'Università degli studi di Milano",,,,
ann_0075,Q125745409,Biblioteca del Gruppo archeologico milanese,biblioteca italiana di Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,giorni di apertura: lunedì | giorni di apertura: mercoledì | nome ufficiale: Biblioteca del Gruppo archeologico milanese | numero di telefono: +39 02796372 | dimensione della collezione o esposizione: 1831,,,,
ann_0076,Q113527484,Biblioteca del Libro parlato di Milano,biblioteca pubblica a Milano,biblioteca pubblica,biblioteca | servizio,giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Biblioteca del Libro parlato | numero di telefono: +39 022046404 | codice postale: 20124,,,,
ann_0077,Q113092739,Biblioteca del Monastero S. Benedetto,biblioteca specializzata a Milano,biblioteca specializzata,biblioteca,nome ufficiale: Biblioteca del Monastero S. Benedetto | numero di telefono: +39 02798739 | codice postale: 20129 | dimensione della collezione o esposizione: 10000,,,,
